2019-04-12 16:31:27.449 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ae06c93, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3a5812dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3ddec942, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@495c3d15, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10014459, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6ab56a77, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@216a3aba, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9760f17, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13cfa1ec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@52688730, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2227c82d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1b9075c9]
2019-04-12 16:34:33.563 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:34:33.603 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:34:33.606 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:34:35.561 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:34:36.247 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:34:36.341 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1911427a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2acb6c9a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@10db002c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@581661d6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b87ea3c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3ad9f06a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72cb5d7d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@19b89a23, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6d1a4522, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1835b24b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@303d2485, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6d89c923]
2019-04-12 16:36:11.192 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:36:11.254 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:36:11.258 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:36:13.966 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:36:15.135 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:36:15.243 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@58cd7486, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2333333c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@42f15e87, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1911427a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2acb6c9a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@10db002c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@581661d6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4b87ea3c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3ad9f06a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@72cb5d7d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@19b89a23, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6d1a4522]
2019-04-12 16:38:32.872 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:38:32.950 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:38:32.960 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:38:35.115 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:38:35.864 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:38:36.016 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3ed79f41, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3ae648d2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@559d9517, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7f69a16b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d461450, org.springframework.test.context.transaction.TransactionalTestExecutionListener@75ee63f2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4c627575, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e32f76b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@339b9869, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@356c8c1b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6a7a8e1e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@39aa595]
2019-04-12 16:42:46.260 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 16:42:46.351 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 16:42:46.355 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 16:42:48.300 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 16:42:49.183 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 16:42:49.326 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@26350832, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7d1cdebf, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@25b7ccfc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@56ed6e17, org.springframework.test.context.support.DirtiesContextTestExecutionListener@58179860, org.springframework.test.context.transaction.TransactionalTestExecutionListener@43e55cfb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@582ea857, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@650ee893, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13eb8ca, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@68553e92, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@45144fdf, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57cc7d9e]
2019-04-12 17:06:53.622 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest], using SpringBootContextLoader
2019-04-12 17:06:53.733 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-12 17:06:53.776 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest]: SysMeunServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-12 17:06:56.028 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.service.impl.SysMeunServiceImplTest
2019-04-12 17:06:56.823 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-12 17:06:56.924 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@69c413f7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7d6f094e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6b886e86, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@f758e05, org.springframework.test.context.support.DirtiesContextTestExecutionListener@46e77fb7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@43c73b5c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6b1381fc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@48b53f3d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3552eb5b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4fb53b76, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@38de4f1d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5973d3ec]
